"Relatório de visita diário
GAUSSIAN BR - CONLOG 

De 10/06/2025 00:00 Para  10/06/2025 23:59 Movimentos entre 05:00 e 09:59",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Descrição do ativo,,Conlog  3706 - KPU-9A36 - DVR,,,,,,,,,,
Número de registro,,KPU9A36,,,,,,,,,,
ID do ativo,,23,,,,,,,,,,
Nome da garagem,,Teodoro Sampaio,,,,,,,,,,
Data de saída,Motorista,Horário de saída,Saída de,Tempo de Condução (hh:mm:ss),distância (km),Vel max (Km/h),Hora de chegada,Chegou em,,,Próxima Partida,Tempo parado na localidade. (hh:mm:ss)
10/06/2025,JOSE MARIO VALENTIN CHAPI,06:04:35,"Avenida Cuiabá, 104, Teodoro Sampaio - SP, 19280-000, Brasil",01:02:10,"30,20",79,07:06:45,"Rodovia Gen. Euclides de O. Figueiredo, Mirante do Paranapanema - SP, 19260-000, Brasil",,,10/06/2025 16:04,08:57:50
Totais,,,,01:02:10,"30,20",,,,,,,08:57:50
Médias,,,,01:02:10,"30,20",,,,,,,08:57:50
Descrição do ativo,,Conlog 3707 - LRC-4A69 - DVR,,,,,,,,,,
Número de registro,,LRC4A69,,,,,,,,,,
ID do ativo,,27,,,,,,,,,,
Nome da garagem,,Teodoro Sampaio,,,,,,,,,,
Data de saída,Motorista,Horário de saída,Saída de,Tempo de Condução (hh:mm:ss),distância (km),Vel max (Km/h),Hora de chegada,Chegou em,,,Próxima Partida,Tempo parado na localidade. (hh:mm:ss)
10/06/2025,ANDERSON FARIAS DE LIMA,06:15:17,"Avenida Cuiabá, 104, Teodoro Sampaio - SP, 19280-000, Brasil",00:59:47,"26,70",77,07:15:04,"Rodovia Gen. Euclides de O. Figueiredo, Mirante do Paranapanema - SP, 19260-000, Brasil",,,10/06/2025 07:20,00:05:12
10/06/2025,ANDERSON FARIAS DE LIMA,07:20:16,"Rodovia Gen. Euclides de O. Figueiredo, Mirante do Paranapanema - SP, 19260-000, Brasil",00:00:47,"0,10",9,07:21:03,"Rodovia Gen. Euclides de O. Figueiredo, Mirante do Paranapanema - SP, 19260-000, Brasil",,,10/06/2025 08:36,01:15:44
10/06/2025,ANDERSON FARIAS DE LIMA,08:36:47,"Rodovia Gen. Euclides de O. Figueiredo, Mirante do Paranapanema - SP, 19260-000, Brasil",00:26:40,"19,90",77,09:03:27,"Rua Odilon Ferreira, 142, Teodoro Sampaio - SP, 19280-000, Brasil",,,10/06/2025 15:06,06:02:37
Totais,,,,01:27:14,"46,70",,,,,,,07:23:33
Médias,,,,00:29:04,"15,57",,,,,,,02:27:51
Descrição do ativo,,Conlog I 3801 I FOQ-7G04 - DVR,,,,,,,,,,
Número de registro,,FOQ7G04,,,,,,,,,,
ID do ativo,,58,,,,,,,,,,
Nome da garagem,,Teodoro Sampaio,,,,,,,,,,
Data de saída,Motorista,Horário de saída,Saída de,Tempo de Condução (hh:mm:ss),distância (km),Vel max (Km/h),Hora de chegada,Chegou em,,,Próxima Partida,Tempo parado na localidade. (hh:mm:ss)
10/06/2025,DONIZETE DE SOUZA NEVES,04:21:03,"Estrada Spv-029, 360, Mirante do Paranapanema - SP, 19260-000, Brasil",02:18:18,"91,64",78,06:39:21,"Estrada Spv-024, Teodoro Sampaio - SP, 19280-000, Brasil",,,10/06/2025 06:47,00:07:47
10/06/2025,DONIZETE DE SOUZA NEVES,06:47:08,"Estrada Spv-024, Teodoro Sampaio - SP, 19280-000, Brasil",00:27:40,"14,61",56,07:14:48,"Estrada Spv-024, Teodoro Sampaio - SP, 19280-000, Brasil",,,10/06/2025 09:11,01:56:32
